,0,1,2,3,4,5,6,7,8,9
11,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Scream (1996),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
12,Fargo (1996),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
13,Willy Wonka and the Chocolate Factory (1971),Men in Black (1997),Mr. Holland's Opus (1995),Ransom (1996),It's a Wonderful Life (1946),Phenomenon (1996),"Time to Kill, A (1996)",Citizen Kane (1941),Vertigo (1958),"Devil's Own, The (1997)"
14,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)",Schindler's List (1993),"Shawshank Redemption, The (1994)"
15,Fargo (1996),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)"
16,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)"
17,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
18,Contact (1997),Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996)
19,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
20,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
21,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993)
22,Fargo (1996),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
23,"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
24,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Back to the Future (1985),Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989)
25,Fargo (1996),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)"
26,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974)
27,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
28,Return of the Jedi (1983),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),Back to the Future (1985),Schindler's List (1993)
29,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
30,Fargo (1996),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
31,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
32,Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996)
33,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
34,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
35,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
36,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
37,Fargo (1996),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996)
38,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
39,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
40,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
41,Contact (1997),"Godfather, The (1972)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
42,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)"
43,Scream (1996),Braveheart (1995),"Terminator, The (1984)",Terminator 2: Judgment Day (1991),Alien (1979),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Aliens (1986),Casablanca (1942),Jaws (1975)
44,"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Rock, The (1996)","Fugitive, The (1993)",Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)"
45,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Rock, The (1996)"
46,Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
47,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
48,Fargo (1996),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
49,"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Jerry Maguire (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
50,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
51,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
52,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
53,"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
54,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
55,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
56,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Titanic (1997),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995)
57,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Indiana Jones and the Last Crusade (1989),Forrest Gump (1994),"Full Monty, The (1997)"
58,Contact (1997),"English Patient, The (1996)",Scream (1996),Liar Liar (1997),"Rock, The (1996)","Fugitive, The (1993)",L.A. Confidential (1997),Braveheart (1995),Terminator 2: Judgment Day (1991),Alien (1979)
59,Air Force One (1997),Liar Liar (1997),"Rock, The (1996)",Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Men in Black (1997),Sense and Sensibility (1995),Conspiracy Theory (1997),"Saint, The (1997)"
60,Fargo (1996),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Rock, The (1996)",Schindler's List (1993)
61,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
62,Air Force One (1997),Titanic (1997),"Fugitive, The (1993)","Full Monty, The (1997)",Jaws (1975),Groundhog Day (1993),"Birdcage, The (1996)","Saint, The (1997)","Graduate, The (1967)",Psycho (1960)
63,Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)","Princess Bride, The (1987)",Back to the Future (1985)
64,"English Patient, The (1996)",Liar Liar (1997),"Rock, The (1996)",Back to the Future (1985),L.A. Confidential (1997),Men in Black (1997),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Casablanca (1942)
65,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)"
66,Fargo (1996),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
67,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
68,Fargo (1996),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)"
69,"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Titanic (1997),Independence Day (ID4) (1996),"Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974)
70,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Jerry Maguire (1996)
71,Contact (1997),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
72,Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",L.A. Confidential (1997)
73,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996)
74,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Rock, The (1996)"
75,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)"
76,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)"
77,Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
78,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
79,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
80,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
81,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
82,Contact (1997),"Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Rock, The (1996)","Princess Bride, The (1987)",Back to the Future (1985),Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)"
83,Fargo (1996),Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Princess Bride, The (1987)"
84,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985)
85,Toy Story (1995),Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)",L.A. Confidential (1997),Braveheart (1995),Willy Wonka and the Chocolate Factory (1971),Terminator 2: Judgment Day (1991),Alien (1979)
86,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
87,Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)"
88,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
89,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
90,Star Wars (1977),Return of the Jedi (1983),Toy Story (1995),Scream (1996),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),"Princess Bride, The (1987)",Back to the Future (1985)
91,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)"
92,"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),One Flew Over the Cuckoo's Nest (1975),Casablanca (1942),Sense and Sensibility (1995),"Graduate, The (1967)"
93,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
94,Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),"Rock, The (1996)","Full Monty, The (1997)",Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Sense and Sensibility (1995),"Saint, The (1997)","Graduate, The (1967)"
95,Fargo (1996),Contact (1997),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Titanic (1997),Star Trek: First Contact (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997)
96,Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
97,Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996)
98,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
99,"Godfather, The (1972)","English Patient, The (1996)",Star Trek: First Contact (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)",Terminator 2: Judgment Day (1991),Alien (1979)
100,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
101,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
102,Fargo (1996),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),Braveheart (1995),Willy Wonka and the Chocolate Factory (1971),"Usual Suspects, The (1995)",Dead Man Walking (1995),E.T. the Extra-Terrestrial (1982)
103,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Scream (1996),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
104,Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
105,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
106,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
107,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
108,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),"Rock, The (1996)"
109,"English Patient, The (1996)",Air Force One (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Leaving Las Vegas (1995),Casablanca (1942),Sense and Sensibility (1995),2001: A Space Odyssey (1968),Conspiracy Theory (1997)
110,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
111,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
112,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
113,Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)"
114,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997)
115,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
116,Fargo (1996),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)"
117,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),"Fugitive, The (1993)",Back to the Future (1985),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
